game_id,condition,info_condition,risk_condition,matchup,round,num_players,pool_before_regen,pool_after_regen,sustainable_share,total_extraction,pool_after_extraction,pool_collapsed,model_1,extraction_1,belief_1,payoff_1,cumulative_1,raw_output_1,token_usage_1,response_time_1,temperature_1,model_2,extraction_2,belief_2,payoff_2,cumulative_2,raw_output_2,token_usage_2,response_time_2,temperature_2,prompt_version,timestamp
1,ai,full,probabilistic,Claude Opus vs GPT-4o,1,2,100,100,2,20,80,0,Claude Opus,10,0.45,10,10,"{""belief"": 0.45, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",1893,0.6,GPT-4o,10,0.5,10,10,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",679,0.6,v2.4,2026-06-03T18:51:46.125134
1,ai,full,probabilistic,Claude Opus vs GPT-4o,2,2,84,84,2,18,66,0,Claude Opus,8,0.4,8,18,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1143,0.6,GPT-4o,10,0.5,10,20,"{""belief"": 0.50, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",677,0.6,v2.4,2026-06-03T18:51:47.946449
1,ai,full,probabilistic,Claude Opus vs GPT-4o,3,2,73,73,2,19,54,0,Claude Opus,10,0.55,10,28,"{""belief"": 0.55, ""extraction"": 10}","{""prompt"": 0, ""completion"": 0}",3967,0.6,GPT-4o,9,0.4,9,29,"{""belief"": 0.40, ""extraction"": 9}","{""prompt"": 0, ""completion"": 0}",530,0.6,v2.4,2026-06-03T18:51:52.443937
1,ai,full,probabilistic,Claude Opus vs GPT-4o,4,2,63,63,2,16,47,0,Claude Opus,8,0.55,8,36,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1327,0.6,GPT-4o,8,0.6,8,37,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",616,0.6,v2.4,2026-06-03T18:51:54.389206
1,ai,full,probabilistic,Claude Opus vs GPT-4o,5,2,58,58,2,15,43,0,Claude Opus,7,0.5,7,43,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1576,0.6,GPT-4o,8,0.5,8,45,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",715,0.6,v2.4,2026-06-03T18:51:56.681526
1,ai,full,probabilistic,Claude Opus vs GPT-4o,6,2,54,54,2,15,39,0,Claude Opus,7,0.5,7,50,"{""belief"": 0.50, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1664,0.6,GPT-4o,8,0.4,8,53,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",601,0.6,v2.4,2026-06-03T18:51:58.948582
1,ai,full,probabilistic,Claude Opus vs GPT-4o,7,2,51,51,2,15,36,0,Claude Opus,7,0.55,7,57,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1737,0.6,GPT-4o,8,0.4,8,61,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",834,0.6,v2.4,2026-06-03T18:52:01.522179
1,ai,full,probabilistic,Claude Opus vs GPT-4o,8,2,49,49,2,16,33,0,Claude Opus,8,0.6,8,65,"{""belief"": 0.60, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1209,0.6,GPT-4o,8,0.4,8,69,"{""belief"": 0.40, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",527,0.6,v2.4,2026-06-03T18:52:03.260639
1,ai,full,probabilistic,Claude Opus vs GPT-4o,9,2,46,46,2,16,30,0,Claude Opus,8,0.55,8,73,"{""belief"": 0.55, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",2775,0.6,GPT-4o,8,0.5,8,77,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",1301,0.6,v2.4,2026-06-03T18:52:07.339839
1,ai,full,probabilistic,Claude Opus vs GPT-4o,10,2,44,44,2,15,29,0,Claude Opus,7,0.55,7,80,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1663,0.6,GPT-4o,8,0.5,8,85,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",560,0.6,v2.4,2026-06-03T18:52:09.563440
1,ai,full,probabilistic,Claude Opus vs GPT-4o,11,2,43,43,2,15,28,0,Claude Opus,7,0.55,7,87,"{""belief"": 0.55, ""extraction"": 7}","{""prompt"": 0, ""completion"": 0}",1801,0.6,GPT-4o,8,0.5,8,93,"{""belief"": 0.50, ""extraction"": 8}","{""prompt"": 0, ""completion"": 0}",689,0.6,v2.4,2026-06-03T18:52:12.054695
